100 4950 633
200 19900 1483
300 44850 2388
400 79800 3372
500 124750 4360
600 108321 4944
700 173757 5909
800 44569 7231
900 36085 7703
1000 139447 9102
1100 83856 10158
1200 205960 10886
1300 15836 11888
1400 127257 12907
1500 47148 13940
1600 51112 15070
1700 12331 16270
1800 119076 17276
1900 33148 18435
2000 209401 19488
2100 7766 20784
2200 57645 21688
2300 74408 22850
2400 137099 24091
2500 77277 25292
2600 232935 26281
2700 46228 27629
2800 170425 28601
2900 48096 29839
3000 17562 31042
3100 81827 32115
3200 24686 33240
3300 399424 34711
3400 256839 35720
3500 20823 36948
3600 111367 38042
3700 298416 39239
3800 81723 40395
3900 111682 41654
4000 81059 42833
4100 7444 44071
4200 96232 45501
4300 33795 46536
4400 211745 47768
4500 179837 49041
4600 104474 50286
4700 6220 51492
4800 145600 52734
4900 162681 53995
5000 42065 55229
