# n values
1 1.0000000000 0.0000000000 12.0000000000 50.0000000000 1.0000000000 0.0000000000 4294967296.0000000000 100.0000000000 1.0000000000 2.0000000000 1.0000000000 3.0000000000
2 0.5000000000 1.0000000000 16.9705627485 70.7106781187 1.4240501956 2.0000000000 8589934592.0000000000 400.0000000000 4.0000000000 16.0000000000 2.0000000000 9.0000000000
3 0.3333333333 1.5849625007 20.7846096908 86.6025403784 1.7511842393 4.7548875022 12884901888.0000000000 900.0000000000 9.0000000000 54.0000000000 5.7045224947 27.0000000000
4 0.2500000000 2.0000000000 24.0000000000 100.0000000000 2.0279189596 8.0000000000 17179869184.0000000000 1600.0000000000 16.0000000000 128.0000000000 16.0000000000 81.0000000000
5 0.2000000000 2.3219280949 26.8328157300 111.8033988750 2.2723472665 11.6096404744 21474836480.0000000000 2500.0000000000 25.0000000000 250.0000000000 41.9718479173 243.0000000000
6 0.1666666667 2.5849625007 29.3938769134 122.4744871392 2.4937742584 15.5097750043 25769803776.0000000000 3600.0000000000 36.0000000000 432.0000000000 102.6814049044 729.0000000000
7 0.1428571429 2.8073549221 31.7490157328 132.2875655532 2.6977394350 19.6514844544 30064771072.0000000000 4900.0000000000 49.0000000000 686.0000000000 235.7708679384 2187.0000000000
8 0.1250000000 3.0000000000 33.9411254970 141.4213562373 2.8878583910 24.0000000000 34359738368.0000000000 6400.0000000000 64.0000000000 1024.0000000000 512.0000000000 6561.0000000000
9 0.1111111111 3.1699250014 36.0000000000 150.0000000000 3.0666462398 28.5293250130 38654705664.0000000000 8100.0000000000 81.0000000000 1458.0000000000 1058.9542266464 19683.0000000000
10 0.1000000000 3.3219280949 37.9473319220 158.1138830084 3.2359365693 33.2192809489 42949672960.0000000000 10000.0000000000 100.0000000000 2000.0000000000 2098.5923958667 59049.0000000000
11 0.0909090909 3.4594316186 39.7994974843 165.8312395178 3.3971151601 38.0537478050 47244640256.0000000000 12100.0000000000 121.0000000000 2662.0000000000 4005.2237471653 177147.0000000000
12 0.0833333333 3.5849625007 41.5692193817 173.2050807569 3.5512597205 43.0195500087 51539607552.0000000000 14400.0000000000 144.0000000000 3456.0000000000 7393.0611531197 531441.0000000000
13 0.0769230769 3.7004397181 43.2666153056 180.2775637732 3.6992280854 48.1057163358 55834574848.0000000000 16900.0000000000 169.0000000000 4394.0000000000 13245.8619552284 1594323.0000000000
14 0.0714285714 3.8073549221 44.8998886413 187.0828693387 3.8417163700 53.3029689088 60129542144.0000000000 19600.0000000000 196.0000000000 5488.0000000000 23105.5450579650 4782969.0000000000
15 0.0666666667 3.9068905956 46.4758001545 193.6491673104 3.9792987192 58.6033589341 64424509440.0000000000 22500.0000000000 225.0000000000 6750.0000000000 39342.3121261217 14348907.0000000000
16 0.0625000000 4.0000000000 48.0000000000 200.0000000000 4.1124553066 64.0000000000 68719476736.0000000000 25600.0000000000 256.0000000000 8192.0000000000 65536.0000000000 43046721.0000000000
17 0.0588235294 4.0874628413 49.4772675074 206.1552812809 4.2415925726 69.4868683013 73014444032.0000000000 28900.0000000000 289.0000000000 9826.0000000000 107007.5064973715 129140163.0000000000
18 0.0555555556 4.1699250014 50.9116882454 212.1320343560 4.3670581777 75.0586500260 77309411328.0000000000 32400.0000000000 324.0000000000 11664.0000000000 171550.5847167147 387420489.0000000000
19 0.0526315789 4.2479275134 52.3067873225 217.9449471770 4.4891522676 80.7106227554 81604378624.0000000000 36100.0000000000 361.0000000000 13718.0000000000 270428.5903912180 1162261467.0000000000
20 0.0500000000 4.3219280949 53.6656314600 223.6067977500 4.6081361044 86.4385618977 85899345920.0000000000 40000.0000000000 400.0000000000 16000.0000000000 419718.4791733330 3486784401.0000000000
